User ID,Product ID,Product Name,Brand,Category,Price,Rating,Color,Size
19,1,Dress,Adidas,Men's Fashion,40,1.04315921083618,Black,XL
97,2,Shoes,H&M,Women's Fashion,82,4.02641627114191,Black,L
25,3,Dress,Adidas,Women's Fashion,44,3.33793755937705,Yellow,XL
57,4,Shoes,Zara,Men's Fashion,23,1.04952295631285,White,S
79,5,T-shirt,Adidas,Men's Fashion,79,4.30277340839868,Black,M
98,6,Dress,Adidas,Men's Fashion,47,1.37956573953305,Yellow,L
16,7,Jeans,Gucci,Men's Fashion,37,1.35675037468426,White,XL
63,8,Sweater,Zara,Kids' Fashion,64,4.36030328941572,Blue,XL
96,9,Sweater,H&M,Men's Fashion,53,4.46618187627844,Green,XL
36,10,T-shirt,Zara,Kids' Fashion,55,4.09323440203342,White,XL
69,11,T-shirt,Adidas,Men's Fashion,51,1.16098795730627,Red,S
87,12,Sweater,Gucci,Kids' Fashion,91,2.6997355375786,Yellow,M
9,13,Jeans,Nike,Kids' Fashion,35,1.60119358005342,Red,M
50,14,Dress,Zara,Women's Fashion,34,2.92100420394735,White,L
31,15,Shoes,Zara,Men's Fashion,54,3.6704122393365,Yellow,M
37,16,Dress,Adidas,Women's Fashion,27,1.42271614280436,Blue,S
41,17,Dress,Gucci,Women's Fashion,75,1.48063213229789,Blue,XL
15,18,Jeans,Gucci,Women's Fashion,73,4.49824468051969,Red,XL
84,19,Shoes,Gucci,Women's Fashion,54,3.27834055624638,White,M
56,20,Dress,Gucci,Men's Fashion,53,3.78524524540579,Green,L
87,21,Jeans,H&M,Men's Fashion,56,2.60958735309867,Yellow,S
56,22,Jeans,Gucci,Women's Fashion,89,4.56863234286854,Green,L
60,23,Jeans,Zara,Kids' Fashion,91,4.07272479707832,Yellow,M
64,24,Jeans,Zara,Women's Fashion,15,2.49975627393204,Yellow,XL
65,25,Sweater,H&M,Kids' Fashion,38,1.02049267135924,Green,S
26,26,Dress,Gucci,Women's Fashion,21,4.74816900503964,Green,S
82,27,T-shirt,Adidas,Kids' Fashion,72,3.30174340837541,Red,L
87,28,Shoes,Zara,Women's Fashion,32,2.82280285980225,Yellow,L
98,29,Shoes,Gucci,Women's Fashion,85,4.94098522098686,Yellow,M
20,30,Sweater,Nike,Kids' Fashion,99,3.11011357258146,Green,XL
36,31,Jeans,H&M,Kids' Fashion,37,2.75518714870577,Blue,S
98,32,T-shirt,Nike,Kids' Fashion,78,3.4472894702795,White,XL
69,33,Jeans,H&M,Kids' Fashion,89,4.79940901870971,Green,XL
31,34,Jeans,H&M,Men's Fashion,80,3.92326115977123,Black,S
48,35,Jeans,Zara,Women's Fashion,37,4.17399156792178,Blue,L
18,36,Dress,H&M,Kids' Fashion,74,1.01499612809201,Green,S
27,37,Sweater,Zara,Kids' Fashion,48,4.94766478278459,Blue,S
60,38,T-shirt,Nike,Kids' Fashion,76,2.66306792373906,Yellow,S
46,39,Jeans,Adidas,Men's Fashion,90,1.78877151930007,Yellow,M
84,40,Dress,Zara,Women's Fashion,26,2.43561133640404,Black,XL
43,41,Jeans,Gucci,Women's Fashion,40,2.92217364584782,Blue,L
43,42,Shoes,Zara,Kids' Fashion,43,1.67195888580591,Red,S
91,43,T-shirt,Adidas,Men's Fashion,39,3.601868546646,White,M
78,44,Jeans,Nike,Kids' Fashion,74,2.03915673909135,White,M
60,45,Jeans,Gucci,Women's Fashion,85,4.88671110348898,Red,L
44,46,Dress,Zara,Men's Fashion,38,2.82786983124548,Yellow,XL
93,47,Jeans,Zara,Men's Fashion,62,1.28073168647465,Green,S
74,48,T-shirt,Gucci,Kids' Fashion,10,1.83696396588857,Green,M
19,49,Sweater,Gucci,Kids' Fashion,52,3.01224078565306,Green,XL
98,50,T-shirt,H&M,Women's Fashion,38,3.08328593281811,Blue,L
51,51,Jeans,Adidas,Women's Fashion,67,3.84299002289188,Yellow,XL
80,52,Dress,Nike,Kids' Fashion,59,3.96419513777281,Red,S
39,53,T-shirt,Nike,Men's Fashion,16,1.29231996957861,Red,M
33,54,Shoes,H&M,Men's Fashion,33,2.45052262939514,Blue,S
78,55,Sweater,Adidas,Kids' Fashion,76,2.82064707928396,Red,S
24,56,Dress,Nike,Women's Fashion,53,2.25132848667596,White,XL
99,57,Sweater,Adidas,Women's Fashion,52,3.61313629317462,Red,M
83,58,Shoes,Adidas,Women's Fashion,61,1.68454137435764,White,L
38,59,Dress,Nike,Kids' Fashion,93,3.15849360421439,Blue,M
51,60,Shoes,H&M,Kids' Fashion,24,1.59071307021623,Yellow,XL
63,61,Shoes,Adidas,Women's Fashion,25,1.04240882014769,Yellow,M
54,62,T-shirt,Nike,Men's Fashion,66,2.06310873477986,Blue,L
53,63,Jeans,Zara,Kids' Fashion,55,4.02627106599151,White,L
50,64,Shoes,Gucci,Kids' Fashion,72,1.77921078584677,Red,M
6,65,Shoes,H&M,Kids' Fashion,33,3.045016002595,Yellow,XL
87,66,Sweater,H&M,Kids' Fashion,59,4.55091731005293,Red,XL
84,67,Jeans,Gucci,Women's Fashion,41,4.25168323891863,Green,M
43,68,T-shirt,Gucci,Women's Fashion,76,4.30493624017921,Red,S
3,69,Sweater,Gucci,Women's Fashion,74,3.66666739969183,Yellow,M
6,70,Dress,Gucci,Women's Fashion,36,2.5386008521608,Yellow,M
15,71,Sweater,Adidas,Women's Fashion,35,4.86499929766666,White,M
94,72,T-shirt,H&M,Women's Fashion,51,2.79362580741989,Yellow,M
98,73,T-shirt,Gucci,Men's Fashion,34,2.92398205744859,Red,M
6,74,Dress,Zara,Women's Fashion,68,2.88080818789687,White,XL
42,75,Dress,H&M,Women's Fashion,86,2.88944369973286,Blue,S
54,76,Jeans,Adidas,Women's Fashion,39,2.97413931469805,Black,XL
37,77,Sweater,H&M,Kids' Fashion,90,2.22826316511775,Blue,L
9,78,T-shirt,Nike,Men's Fashion,76,1.29725719332466,White,XL
26,79,T-shirt,Nike,Men's Fashion,11,1.33342208671757,Red,L
71,80,Jeans,Nike,Kids' Fashion,21,2.93805628963359,Red,XL
72,81,T-shirt,Nike,Women's Fashion,66,2.40344000180528,Green,S
100,82,Dress,H&M,Kids' Fashion,31,4.61270600252109,Blue,S
69,83,Shoes,Nike,Women's Fashion,49,1.42179036656913,Blue,L
19,84,Sweater,Adidas,Women's Fashion,42,2.56017404461183,Red,L
84,85,Shoes,Nike,Women's Fashion,89,1.10763284739042,Yellow,XL
4,86,Sweater,Zara,Men's Fashion,50,3.27622160251557,Yellow,M
21,87,Shoes,Nike,Men's Fashion,41,4.12694161367821,Red,S
85,88,Dress,Nike,Kids' Fashion,61,2.55789213179426,White,L
10,89,Dress,Gucci,Men's Fashion,66,3.89643696247007,White,L
2,90,Jeans,H&M,Men's Fashion,37,3.9615924626391,Red,XL
90,91,Jeans,H&M,Kids' Fashion,85,3.05255582207252,Green,XL
6,92,Jeans,Adidas,Men's Fashion,100,1.84507130440647,White,M
33,93,Shoes,Nike,Men's Fashion,70,4.92812821541404,White,S
12,94,Shoes,Zara,Women's Fashion,21,3.94187564819491,Yellow,XL
62,95,Shoes,Gucci,Women's Fashion,58,1.97152513465416,Blue,S
22,96,Dress,Gucci,Women's Fashion,30,4.65525163040374,Red,L
18,97,Jeans,Gucci,Men's Fashion,52,3.76189055122614,Green,L
44,98,Sweater,Gucci,Kids' Fashion,61,4.27708991564102,Black,XL
25,99,Shoes,Nike,Kids' Fashion,93,4.28009072485346,Yellow,L
79,100,Shoes,Adidas,Kids' Fashion,84,1.83719942156349,Red,L
52,101,Jeans,Zara,Women's Fashion,95,1.50175427103994,Green,XL
71,102,Sweater,Gucci,Kids' Fashion,19,4.21188957300004,Red,S
57,103,Jeans,Zara,Women's Fashion,84,3.64917071477457,White,XL
64,104,Jeans,H&M,Men's Fashion,24,4.73725732459789,White,M
35,105,Jeans,Zara,Women's Fashion,52,1.75093116029792,Yellow,L
63,106,Jeans,H&M,Kids' Fashion,21,2.72623034098848,Red,L
19,107,Sweater,Zara,Men's Fashion,23,3.32134692845756,Red,L
80,108,Sweater,Gucci,Men's Fashion,13,4.27804296814289,Green,L
77,109,Jeans,Nike,Kids' Fashion,73,2.72765960082044,Black,XL
22,110,Sweater,Gucci,Women's Fashion,33,4.66505809880544,Blue,XL
99,111,Shoes,Zara,Women's Fashion,55,2.39368459069506,Green,M
92,112,Jeans,Adidas,Men's Fashion,15,2.44626948036506,White,S
97,113,T-shirt,Zara,Men's Fashion,60,1.18849179769984,White,L
48,114,Shoes,H&M,Men's Fashion,37,1.45713959365644,Red,M
37,115,Dress,Adidas,Kids' Fashion,64,2.88780660081907,Blue,L
77,116,Shoes,Adidas,Women's Fashion,60,3.11479714523872,Green,M
52,117,Dress,Zara,Kids' Fashion,75,3.99217460428084,White,M
63,118,Dress,Adidas,Men's Fashion,71,3.51731577308356,Yellow,S
10,119,Jeans,Nike,Men's Fashion,73,2.65792507116512,Yellow,S
77,120,T-shirt,H&M,Men's Fashion,12,2.50731069273589,Green,M
95,121,T-shirt,Gucci,Men's Fashion,96,1.6339895968292,Red,M
90,122,Sweater,H&M,Women's Fashion,36,4.42512958185259,Blue,XL
80,123,Sweater,Nike,Women's Fashion,65,2.64739341514333,Yellow,L
65,124,Sweater,H&M,Men's Fashion,62,1.09081315012944,Black,L
56,125,Sweater,H&M,Kids' Fashion,56,4.13937302250506,Green,L
65,126,T-shirt,Nike,Kids' Fashion,55,4.8517035092109,Green,M
7,127,Shoes,Zara,Women's Fashion,47,4.86740352988641,Yellow,M
100,128,T-shirt,H&M,Women's Fashion,61,2.31049396341667,Green,M
70,129,T-shirt,Zara,Women's Fashion,85,2.10432200723459,Yellow,M
40,130,Shoes,Nike,Women's Fashion,81,1.02197248472877,Green,M
70,131,T-shirt,H&M,Men's Fashion,50,3.3774933674823,Blue,M
100,132,Sweater,Adidas,Women's Fashion,10,2.99770132847564,White,M
29,133,Shoes,H&M,Kids' Fashion,28,1.66454240178587,Blue,XL
23,134,Sweater,Zara,Women's Fashion,60,3.63365152981158,Yellow,S
94,135,Dress,Adidas,Kids' Fashion,14,3.65470301250421,Blue,L
34,136,Shoes,Zara,Men's Fashion,45,1.01765474295908,Blue,XL
44,137,Dress,Gucci,Kids' Fashion,90,3.32050860940939,Green,S
16,138,Dress,H&M,Women's Fashion,23,1.8115782608759,Yellow,S
73,139,Sweater,Gucci,Women's Fashion,45,3.540081866561,Blue,XL
54,140,Shoes,Zara,Kids' Fashion,40,2.02264300294677,Green,M
58,141,Jeans,Nike,Women's Fashion,28,4.44157554796289,Yellow,L
46,142,Shoes,Nike,Men's Fashion,38,4.40393239436974,White,XL
88,143,Shoes,Gucci,Women's Fashion,81,4.92293488334085,White,L
75,144,Shoes,Adidas,Kids' Fashion,57,1.00096723542806,Blue,M
34,145,T-shirt,Zara,Kids' Fashion,60,4.82195668893605,Green,S
75,146,Shoes,Adidas,Women's Fashion,53,3.46638798100466,Yellow,M
54,147,Shoes,Gucci,Kids' Fashion,48,2.58239302614201,Green,L
39,148,Shoes,Adidas,Women's Fashion,82,2.71631165914104,Black,L
95,149,Jeans,Adidas,Women's Fashion,56,4.00127046228114,Green,M
67,150,T-shirt,Nike,Women's Fashion,43,1.19733072283038,Green,M
